#Data_Processing

Enable[1] Instruction[16] Rd[3] Rn[3] Rm[3] ALU_Opcode[4] Flags_Update_Mask[4]

# You can list the test vectors. Values are separated by spaces

# here I recall the list of the inputs and outputs :
#    inputs		   outputs 
# Enable Instruction Rd Rn Rm ALU_Opcode Flags_Update_Mask
    1 0100000000001001 001 001 001 0000 1110
    1 0100000001001001 001 001 001 0001 1110
    1 0100000010001001 001 001 001 0010 1110
    1 0100000011001001 001 001 001 0011 1110
    1 0100000100001001 001 001 001 0100 1110
    1 0100000101001001 001 001 001 0101 1111
    1 0100000110001001 001 001 001 0110 1111
    1 0100000111001001 001 001 001 0111 1110
    1 0100001000001001 001 001 001 1000 1110
    1 0100001001001001 001 001 001 1001 1111
    1 0100001010001001 001 001 001 1010 1111
    1 0100001011001001 001 001 001 1011 1111
    1 0100001100001001 001 001 001 1100 1110
    1 0100001101001001 001 001 001 1101 1100
    1 0100001110001001 001 001 001 1110 1110
    1 0100001111001001 001 001 001 1111 1110
